timestamp,attempt,serial,user_input,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-09-23T05:37:24.005072,1,61 35 94 22 95 31 46 54 2 4,61 34,0,1,1,0,1,1,
2025-09-23T05:37:48.105250,2,19 8 47 85 72 31 81 53 22 64,19 8 47 85,0,1,0,0,2,1,
2025-09-23T05:38:12.173851,3,54 12 69 37 64 89 83 27 6 14,64 9 47 9 47 65,1,1,6,1,3,7,
2025-09-23T05:38:38.618940,4,39 15 80 77 83 55 12 83 67 76,39 15 76 85 47,0,1,3,1,4,10,
2025-09-23T05:38:58.487252,5,72 69 16 36 73 91 75 91 11 21,91 11 21 37 47,1,1,5,2,5,15,
2025-09-23T05:39:20.487325,6,69 25 82 61 35 87 72 5 8 79,8 79 69 58 22,1,1,5,3,6,20,
2025-09-23T05:39:38.799314,7,16 18 53 21 81 21 97 52 38 93,93 88 16 77,1,1,4,4,7,24,
2025-09-23T05:40:03.278742,8,85 61 80 92 14 73 15 35 60 20,60 20 85 61 13,1,1,5,5,8,29,
2025-09-23T05:40:24.944967,9,39 90 8 93 10 41 41 60 62 58,58 41 41 39 90 8,1,1,6,6,9,35,
2025-09-23T05:40:45.447690,10,31 55 49 40 86 53 69 83 83 67,67 31 55,1,1,3,7,10,38,
