timestamp,attempt,serial,user_input,correct_numbers,wrong_numbers,first_correct,last_correct,pattern_correct,correct_numbers_total,first_correct_total,last_correct_total,speed_ms
2025-10-09T20:44:38.695787,1,32 27 54 88 45 57 45 11 19 32,42 11 11 57 88 47 90   ,3,7,0,0,,3,0,0,
2025-10-09T20:45:16.253217,2,9 62 95 59 60 83 96 23 51 28,28 51 8 9 24 21 5   ,3,7,1,1,,6,1,1,
2025-10-09T20:45:46.649897,3,81 76 61 29 59 56 28 2 74 46,2 54 56 44 23 11    ,2,8,0,0,,8,1,1,
2025-10-09T20:46:21.848643,4,75 7 51 5 75 38 98 40 61 65,61 65 57 5 7 5 52   ,4,6,0,1,,12,1,2,
2025-10-09T20:46:55.199386,5,25 20 94 37 92 50 47 75 46 82,24 20 82 70 32 11 57 58 94 91,3,7,0,1,,15,1,3,
2025-10-09T20:47:51.123439,1,24 18 20 79 62 51 77 96 51 16,16 51 51 24 97     ,4,6,1,1,,4,1,1,
2025-10-09T20:48:21.636061,2,24 60 13 68 82 22 74 64 91 80,24 64 64 80 80 61    ,3,7,1,1,,7,2,2,
2025-10-09T20:48:45.164944,3,39 18 27 89 97 90 79 91 48 36,91 38 34 64 44     ,1,9,0,0,,8,2,2,
2025-10-09T20:49:11.218148,4,32 1 39 26 43 55 5 35 87 71,5 35 55 21 81 46    ,3,7,0,0,,11,2,2,
2025-10-09T20:49:37.432659,5,52 81 6 26 61 9 24 71 76 3,76 3 68       ,2,8,0,1,,13,2,3,
2025-10-09T20:50:13.460491,6,41 97 6 60 57 71 21 58 78 14,71 71 18 14 61     ,2,8,0,1,,15,2,4,
2025-10-09T20:50:40.694870,7,90 90 11 39 27 67 49 43 84 97,97 97 38 48      ,1,9,0,1,,16,2,5,
2025-10-09T20:51:09.063930,8,57 57 94 90 36 48 38 49 48 3,48 38 49 3 48     ,5,5,0,1,,21,2,6,
2025-10-09T20:51:33.253124,9,82 87 95 59 22 64 73 94 69 88,69 88        ,2,8,0,1,,23,2,7,
2025-10-09T20:52:00.965773,10,54 49 8 51 50 91 47 30 16 91,47 30 91 90 7     ,3,7,0,1,,26,2,8,
